cluster1	cluster2	clusterNew	distance	size
747.0	1926.0	1996.0	-1.161	75.0
388.0	1739.0	1997.0	-1.159	71.0
389.0	775.0	1998.0	-1.159	47.0
901.0	1281.0	1999.0	-1.159	23.0
22.0	1680.0	2000.0	-1.15	70.0
170.0	1591.0	2001.0	-1.15	64.0
1375.0	1628.0	2002.0	-1.149	76.0
494.0	560.0	2003.0	-1.143	40.0
113.0	1085.0	2004.0	-1.14	43.0
922.0	1975.0	2005.0	-1.138	103.0
1496.0	1832.0	2006.0	-1.138	37.0
208.0	872.0	2007.0	-1.137	49.0
1018.0	1353.0	2008.0	-1.132	20.0
1522.0	1635.0	2009.0	-1.129	72.0
959.0	1776.0	2010.0	-1.122	35.0
174.0	967.0	2011.0	-1.12	37.0
489.0	1288.0	2012.0	-1.116	22.0
1128.0	1935.0	2013.0	-1.116	105.0
838.0	1172.0	2014.0	-1.109	37.0
1015.0	1254.0	2015.0	-1.101	20.0
1316.0	1661.0	2016.0	-1.101	69.0
1506.0	1701.0	2017.0	-1.097	34.0
843.0	1893.0	2018.0	-1.088	82.0
158.0	483.0	2019.0	-1.086	42.0
249.0	940.0	2020.0	-1.085	37.0
1770.0	1844.0	2021.0	-1.078	161.0
230.0	1608.0	2022.0	-1.075	61.0
932.0	1311.0	2023.0	-1.071	19.0
1691.0	1717.0	2024.0	-1.067	68.0
647.0	883.0	2025.0	-1.062	43.0
19.0	100.0	2026.0	-1.06	47.0
1377.0	1809.0	2027.0	-1.057	33.0
879.0	1448.0	2028.0	-1.053	25.0
1488.0	1724.0	2029.0	-1.052	28.0
453.0	1042.0	2030.0	-1.044	33.0
262.0	934.0	2031.0	-1.043	40.0
216.0	758.0	2032.0	-1.036	53.0
407.0	442.0	2033.0	-1.034	47.0
1092.0	1763.0	2034.0	-1.023	72.0
1319.0	1483.0	2035.0	-1.02	20.0
968.0	1637.0	2036.0	-1.019	58.0
299.0	811.0	2037.0	-1.018	63.0
1119.0	1570.0	2038.0	-1.018	68.0
135.0	847.0	2039.0	-1.008	46.0
895.0	1748.0	2040.0	-1.003	49.0
808.0	1163.0	2041.0	-1.0	31.0
1912.0	2014.0	2042.0	-0.995	101.0
302.0	1185.0	2043.0	-0.992	47.0
529.0	1428.0	2044.0	-0.987	32.0
469.0	825.0	2045.0	-0.981	43.0
703.0	1330.0	2046.0	-0.977	35.0
989.0	1341.0	2047.0	-0.977	19.0
594.0	731.0	2048.0	-0.975	44.0
48.0	1156.0	2049.0	-0.973	51.0
32.0	417.0	2050.0	-0.97	26.0
827.0	1003.0	2051.0	-0.967	37.0
468.0	1904.0	2052.0	-0.957	88.0
1332.0	1801.0	2053.0	-0.955	34.0
868.0	1688.0	2054.0	-0.951	52.0
1256.0	1284.0	2055.0	-0.95	13.0
179.0	1077.0	2056.0	-0.945	32.0
1705.0	1917.0	2057.0	-0.945	134.0
1478.0	1746.0	2058.0	-0.94	50.0
1063.0	1947.0	2059.0	-0.938	59.0
183.0	1006.0	2060.0	-0.933	22.0
836.0	1321.0	2061.0	-0.929	24.0
